time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-15 00:00:00+00:00,44.0,38.0,,
2023-03-16 00:00:00+00:00,1.0,1.0,1.0,1.0
2023-03-17 00:00:00+00:00,2.0,2.0,13.0,3.0
2023-03-19 00:00:00+00:00,1.0,1.0,2.0,1.0
2023-03-20 00:00:00+00:00,147.0,83.0,1.0,1.0
2023-03-21 00:00:00+00:00,93.0,58.0,7.0,3.0
2023-03-22 00:00:00+00:00,17.0,16.0,11.0,3.0
2023-03-23 00:00:00+00:00,,,1.0,1.0
2023-03-25 00:00:00+00:00,67.0,49.0,1.0,1.0
2023-03-26 00:00:00+00:00,159.0,71.0,,
2023-03-27 00:00:00+00:00,92.0,67.0,,
2023-03-28 00:00:00+00:00,20.0,16.0,3.0,2.0
