time_iso8601,stars_cumulative
2022-11-28 00:00:00+00:00,2
2022-12-07 00:00:00+00:00,3
2022-12-09 00:00:00+00:00,4
2024-03-26 00:00:00+00:00,5
2024-05-22 00:00:00+00:00,6
