time_iso8601,stars_cumulative
2023-01-05 00:00:00+00:00,303
2023-01-06 00:00:00+00:00,305
2023-01-10 00:00:00+00:00,306
2023-01-15 00:00:00+00:00,307
2023-01-18 00:00:00+00:00,308
2023-01-21 00:00:00+00:00,309
2023-01-24 00:00:00+00:00,310
2023-01-25 00:00:00+00:00,311
2023-01-30 00:00:00+00:00,312
2023-02-01 00:00:00+00:00,313
2023-02-03 00:00:00+00:00,314
2023-02-05 00:00:00+00:00,315
2023-02-09 00:00:00+00:00,317
2023-02-10 00:00:00+00:00,318
2023-02-15 00:00:00+00:00,319
