time_iso8601,forks_cumulative
2021-11-08 00:00:00+00:00,1
2021-12-02 00:00:00+00:00,2
2023-02-23 00:00:00+00:00,3
2023-08-28 00:00:00+00:00,4
2023-10-25 00:00:00+00:00,5
2023-12-12 00:00:00+00:00,6
2024-04-07 00:00:00+00:00,7
2024-04-09 00:00:00+00:00,8
2024-04-11 00:00:00+00:00,9
