time_iso8601,forks_cumulative
2021-09-18 00:00:00+00:00,1
2021-10-19 00:00:00+00:00,2
2022-03-22 00:00:00+00:00,3
2022-04-17 00:00:00+00:00,4
2022-06-13 00:00:00+00:00,5
2022-07-01 00:00:00+00:00,6
2023-05-03 00:00:00+00:00,7
2023-08-15 00:00:00+00:00,8
2023-08-28 00:00:00+00:00,9
