time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-13 00:00:00+00:00,,,37,11
2024-06-14 00:00:00+00:00,2.0,2.0,34,13
2024-06-15 00:00:00+00:00,,,28,8
2024-06-16 00:00:00+00:00,,,39,9
2024-06-17 00:00:00+00:00,,,116,11
2024-06-18 00:00:00+00:00,,,8,8
2024-06-19 00:00:00+00:00,1.0,1.0,61,18
2024-06-20 00:00:00+00:00,2.0,2.0,32,11
2024-06-21 00:00:00+00:00,,,11,7
2024-06-22 00:00:00+00:00,1.0,1.0,35,8
2024-06-23 00:00:00+00:00,,,16,6
2024-06-24 00:00:00+00:00,,,28,6
2024-06-25 00:00:00+00:00,,,6,5
2024-06-26 00:00:00+00:00,,,97,11
