time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,4.0,3.0,13,9
2025-02-28 00:00:00+00:00,,,31,9
2025-03-01 00:00:00+00:00,4.0,3.0,37,7
2025-03-02 00:00:00+00:00,,,32,8
2025-03-03 00:00:00+00:00,5.0,3.0,43,10
2025-03-04 00:00:00+00:00,1.0,1.0,113,19
2025-03-05 00:00:00+00:00,3.0,2.0,51,17
2025-03-06 00:00:00+00:00,3.0,2.0,31,8
2025-03-07 00:00:00+00:00,3.0,2.0,19,9
2025-03-08 00:00:00+00:00,2.0,1.0,27,9
2025-03-09 00:00:00+00:00,1.0,1.0,18,12
2025-03-10 00:00:00+00:00,3.0,2.0,14,7
2025-03-11 00:00:00+00:00,,,25,11
2025-03-12 00:00:00+00:00,7.0,3.0,119,10
