referrer,views_total,views_unique
github.com,144,33
Google,41,20
youtube.com,13,2
Bing,4,4
doubao.com,4,2
harfang3d.com,3,3
chatgpt.com,3,1
perplexity.ai,2,2
search.brave.com,1,1
