time_iso8601,forks_cumulative
2018-07-10 00:00:00+00:00,1
2019-03-24 00:00:00+00:00,2
2019-07-23 00:00:00+00:00,3
2019-11-02 00:00:00+00:00,4
2020-01-10 00:00:00+00:00,5
2020-04-06 00:00:00+00:00,6
2020-04-21 00:00:00+00:00,7
2020-04-26 00:00:00+00:00,8
2020-08-10 00:00:00+00:00,9
2020-08-22 00:00:00+00:00,10
2020-09-19 00:00:00+00:00,11
2020-12-06 00:00:00+00:00,12
2020-12-08 00:00:00+00:00,13
2021-02-16 00:00:00+00:00,14
2021-06-26 00:00:00+00:00,15
2021-08-10 00:00:00+00:00,16
2021-09-28 00:00:00+00:00,17
2021-10-03 00:00:00+00:00,18
2021-10-16 00:00:00+00:00,19
2021-11-14 00:00:00+00:00,20
2021-12-28 00:00:00+00:00,21
2022-01-15 00:00:00+00:00,22
2022-04-04 00:00:00+00:00,23
2022-04-18 00:00:00+00:00,24
2022-04-22 00:00:00+00:00,25
2022-06-17 00:00:00+00:00,26
2022-09-03 00:00:00+00:00,27
2022-10-11 00:00:00+00:00,28
2022-12-06 00:00:00+00:00,29
2024-03-21 00:00:00+00:00,30
2024-05-29 00:00:00+00:00,31
2024-09-27 00:00:00+00:00,32
